                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4536,                 4.2353,                 4.2504,                0.01562,                   0.25,                0.24875,                 0.1801,                 3.0366,                 4.1277,                 4.1592,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 3.4552,                 4.1969,                 4.2279,                0.01786,                   0.25,                0.24875,                0.18885,                 3.0355,                 4.1222,                 4.1577,              0.0001602,              0.0001602,              0.0001602
                      3,                  3.392,                 4.1748,                 4.1846,                0.01562,                   0.25,                0.24875,                0.17697,                 3.0301,                  4.113,                 4.1542,             0.00024293,             0.00024293,             0.00024293
                      4,                 3.4254,                 4.1072,                 4.1718,                0.01562,                   0.25,                0.24875,                0.17493,                 3.0195,                 4.1009,                 4.1487,             0.00032318,             0.00032318,             0.00032318
                      5,                 3.2842,                 3.9772,                 4.1533,                0.00383,                   0.25,                0.24875,                0.17626,                 2.9971,                 4.0701,                 4.1365,             0.00040096,             0.00040096,             0.00040096
                      6,                 3.3316,                 3.8615,                 4.1114,                0.00317,                   0.25,                0.24875,                0.13476,                  2.978,                 4.0305,                 4.1228,             0.00047626,             0.00047626,             0.00047626
                      7,                 3.3405,                 3.5693,                 4.0279,                0.00306,                   0.25,                0.24875,                0.13108,                 2.9526,                 4.0087,                 4.1021,             0.00054909,             0.00054909,             0.00054909
                      8,                 3.3146,                 3.3685,                 3.9159,                0.00315,                   0.25,                0.24875,                0.12893,                 2.9287,                  3.963,                 4.0851,             0.00061944,             0.00061944,             0.00061944
                      9,                 3.3458,                 3.0655,                 3.7947,                 0.0031,                   0.25,                0.21125,                0.10255,                 2.9001,                 3.8903,                 4.0663,             0.00068731,             0.00068731,             0.00068731
                     10,                 3.1815,                 2.9517,                 3.7013,                0.00564,                0.26667,                0.11451,                0.04336,                 2.7439,                 3.6151,                 3.9393,             0.00075272,             0.00075272,             0.00075272
                     11,                 2.9812,                 2.7921,                 3.6118,                 0.8464,                  0.025,                0.10053,                 0.0353,                 2.6059,                 3.2963,                 3.7706,             0.00081564,             0.00081564,             0.00081564
                     12,                  2.972,                  2.644,                 3.4959,                0.80958,                  0.175,                0.08739,                0.02904,                 2.5835,                 3.2704,                 3.6142,             0.00087609,             0.00087609,             0.00087609
                     13,                 2.8233,                 2.5514,                 3.4141,                0.81701,                  0.125,                0.16045,                 0.0498,                 2.5826,                 5.1611,                 3.5112,             0.00093407,             0.00093407,             0.00093407
                     14,                 2.8291,                 2.5823,                 3.3594,                0.85861,                   0.15,                0.28251,                0.08244,                 2.5829,                 5.7244,                 3.4046,             0.00098957,             0.00098957,             0.00098957
                     15,                 2.6616,                 2.3861,                 3.2009,                0.45394,                0.38323,                0.35181,                0.11427,                 2.5065,                 4.6381,                 3.2599,              0.0010025,              0.0010025,              0.0010025
                     16,                 2.6768,                 2.2714,                  3.132,                0.75962,                0.24167,                0.39156,                0.13095,                  2.561,                  2.968,                 3.3123,              0.0010025,              0.0010025,              0.0010025
                     17,                 2.5378,                 2.2117,                 3.0338,                0.36724,                0.50992,                0.29469,                0.10254,                 2.5418,                  4.011,                  3.288,             0.00098482,             0.00098482,             0.00098482
                     18,                 2.5826,                 2.1689,                 3.0076,                0.70884,                0.18462,                0.33289,                0.16245,                 2.5542,                 3.5129,                 3.2948,             0.00096714,             0.00096714,             0.00096714
                     19,                 2.4746,                 2.1135,                 2.8901,                0.80251,                0.36667,                0.41532,                0.19428,                 2.3041,                 2.9207,                 3.1512,             0.00094946,             0.00094946,             0.00094946
                     20,                 2.4674,                 2.0429,                 2.8658,                0.79567,                0.39329,                0.36349,                0.14938,                 2.2282,                 5.0507,                 3.1209,             0.00093179,             0.00093179,             0.00093179
                     21,                 2.3256,                 1.9374,                 2.7916,                0.74013,                0.38333,                 0.2944,                0.13548,                 2.1316,                 5.3731,                 3.1475,             0.00091411,             0.00091411,             0.00091411
                     22,                 2.2954,                 1.9043,                 2.7621,                0.74085,                0.41667,                0.38596,                0.21156,                 2.0919,                 3.4021,                 3.2522,             0.00089643,             0.00089643,             0.00089643
